2018-04-07 16:49:38,558 - DEBUG : 程式開始
2018-04-07 16:49:38,559 - DEBUG : sumrange 100 計算開始
2018-04-07 16:49:38,563 - DEBUG : i = 34, ans = 596
2018-04-07 16:49:38,564 - DEBUG : i = 35, ans = 631
2018-04-07 16:49:38,564 - DEBUG : i = 36, ans = 667
2018-04-07 16:49:38,564 - DEBUG : i = 37, ans = 704
2018-04-07 16:49:38,564 - DEBUG : i = 38, ans = 742
2018-04-07 16:49:38,564 - DEBUG : i = 39, ans = 781
2018-04-07 16:49:38,564 - DEBUG : i = 40, ans = 821
2018-04-07 16:49:38,564 - DEBUG : i = 41, ans = 862
2018-04-07 16:49:38,564 - DEBUG : i = 42, ans = 904
2018-04-07 16:49:38,565 - DEBUG : i = 43, ans = 947
2018-04-07 16:49:38,565 - DEBUG : i = 44, ans = 991
2018-04-07 16:49:38,565 - DEBUG : i = 45, ans = 1036
2018-04-07 16:49:38,565 - DEBUG : i = 46, ans = 1082
2018-04-07 16:49:38,565 - DEBUG : i = 47, ans = 1129
2018-04-07 16:49:38,565 - DEBUG : i = 48, ans = 1177
2018-04-07 16:49:38,565 - DEBUG : i = 49, ans = 1226
2018-04-07 16:49:38,565 - DEBUG : i = 50, ans = 1276
2018-04-07 16:49:38,565 - DEBUG : i = 51, ans = 1327
2018-04-07 16:49:38,566 - DEBUG : i = 52, ans = 1379
2018-04-07 16:49:38,566 - DEBUG : i = 53, ans = 1432
2018-04-07 16:49:38,566 - DEBUG : i = 54, ans = 1486
2018-04-07 16:49:38,566 - DEBUG : i = 55, ans = 1541
2018-04-07 16:49:38,566 - DEBUG : i = 56, ans = 1597
2018-04-07 16:49:38,566 - DEBUG : i = 57, ans = 1654
2018-04-07 16:49:38,566 - DEBUG : i = 58, ans = 1712
2018-04-07 16:49:38,566 - DEBUG : i = 59, ans = 1771
2018-04-07 16:49:38,567 - DEBUG : i = 60, ans = 1831
2018-04-07 16:49:38,567 - DEBUG : i = 61, ans = 1892
2018-04-07 16:49:38,567 - DEBUG : i = 62, ans = 1954
2018-04-07 16:49:38,567 - DEBUG : i = 63, ans = 2017
2018-04-07 16:49:38,567 - DEBUG : i = 64, ans = 2081
2018-04-07 16:49:38,567 - DEBUG : i = 65, ans = 2146
2018-04-07 16:49:38,567 - DEBUG : i = 66, ans = 2212
2018-04-07 16:49:38,567 - DEBUG : i = 67, ans = 2279
2018-04-07 16:49:38,568 - DEBUG : i = 68, ans = 2347
2018-04-07 16:49:38,568 - DEBUG : i = 69, ans = 2416
2018-04-07 16:49:38,568 - DEBUG : i = 70, ans = 2486
2018-04-07 16:49:38,568 - DEBUG : i = 71, ans = 2557
2018-04-07 16:49:38,568 - DEBUG : i = 72, ans = 2629
2018-04-07 16:49:38,568 - DEBUG : i = 73, ans = 2702
2018-04-07 16:49:38,568 - DEBUG : i = 74, ans = 2776
2018-04-07 16:49:38,568 - DEBUG : i = 75, ans = 2851
2018-04-07 16:49:38,569 - DEBUG : i = 76, ans = 2927
2018-04-07 16:49:38,569 - DEBUG : i = 77, ans = 3004
2018-04-07 16:49:38,569 - DEBUG : i = 78, ans = 3082
2018-04-07 16:49:38,569 - DEBUG : i = 79, ans = 3161
2018-04-07 16:49:38,569 - DEBUG : i = 80, ans = 3241
2018-04-07 16:49:38,569 - DEBUG : i = 81, ans = 3322
2018-04-07 16:49:38,569 - DEBUG : i = 82, ans = 3404
2018-04-07 16:49:38,569 - DEBUG : i = 83, ans = 3487
2018-04-07 16:49:38,570 - DEBUG : i = 84, ans = 3571
2018-04-07 16:49:38,570 - DEBUG : i = 85, ans = 3656
2018-04-07 16:49:38,570 - DEBUG : i = 86, ans = 3742
2018-04-07 16:49:38,570 - DEBUG : i = 87, ans = 3829
2018-04-07 16:49:38,570 - DEBUG : i = 88, ans = 3917
2018-04-07 16:49:38,570 - DEBUG : i = 89, ans = 4006
2018-04-07 16:49:38,570 - DEBUG : i = 90, ans = 4096
2018-04-07 16:49:38,570 - DEBUG : i = 91, ans = 4187
2018-04-07 16:49:38,570 - DEBUG : i = 92, ans = 4279
2018-04-07 16:49:38,571 - DEBUG : i = 93, ans = 4372
2018-04-07 16:49:38,571 - DEBUG : i = 94, ans = 4466
2018-04-07 16:49:38,571 - DEBUG : i = 95, ans = 4561
2018-04-07 16:49:38,571 - DEBUG : i = 96, ans = 4657
2018-04-07 16:49:38,571 - DEBUG : i = 97, ans = 4754
2018-04-07 16:49:38,571 - DEBUG : i = 98, ans = 4852
2018-04-07 16:49:38,571 - DEBUG : i = 99, ans = 4951
2018-04-07 16:49:38,571 - DEBUG : i = 100, ans = 5051
2018-04-07 16:49:38,572 - DEBUG : sumrange 100 計算結束
2018-04-07 16:49:38,572 - DEBUG : 程式結束
